calc_time,funding_interval_hours,last_funding_rate
1677628800013,8,7.3E-7
1677657600014,8,0.00010000
1677686400000,8,0.00010000
1677715200014,8,0.00010000
1677744000002,8,0.00010000
1677772800000,8,0.00010000
1677801600017,8,0.00010000
1677830400004,8,-0.00007626
1677859200000,8,0.00000127
1677888000001,8,0.00006469
1677916800008,8,0.00010000
1677945600012,8,0.00000800
1677974400000,8,0.00005612
1678003200015,8,0.00006964
1678032000011,8,0.00002057
1678060800011,8,-0.00005286
1678089600000,8,-0.00002170
1678118400000,8,0.00010000
1678147200004,8,0.00004005
1678176000000,8,0.00009418
1678204800000,8,0.00010000
1678233600002,8,0.00010000
1678262400000,8,0.00010000
1678291200008,8,0.00010000
1678320000000,8,0.00010000
1678348800021,8,0.00008583
1678377600010,8,0.00010000
1678406400012,8,-0.00020768
1678435200000,8,0.00005111
1678464000011,8,-0.00001497
1678492800014,8,-0.00036833
1678521600015,8,-0.00027461
1678550400001,8,-0.00025152
1678579200013,8,-0.00034959
1678608000012,8,-0.00071327
1678636800000,8,-0.00094680
1678665600003,8,-0.00079025
1678694400000,8,-0.00009848
1678723200001,8,-0.00020943
1678752000000,8,0.00010000
1678780800000,8,-0.00011242
1678809600010,8,0.00010000
1678838400000,8,0.00010000
1678867200003,8,0.00010000
1678896000019,8,0.00010000
1678924800000,8,-0.00007789
1678953600001,8,0.00010000
1678982400004,8,-0.00006479
1679011200021,8,0.00010000
1679040000018,8,0.00010000
1679068800000,8,0.00010000
1679097600013,8,0.00010000
1679126400015,8,0.00010000
1679155200003,8,0.00010000
1679184000007,8,0.00010000
1679212800040,8,0.00010000
1679241600000,8,0.00010000
1679270400012,8,0.00010000
1679299200012,8,0.00007415
1679328000007,8,0.00010000
1679356800000,8,0.00010000
1679385600000,8,-0.00013497
1679414400003,8,0.00007115
1679443200000,8,-0.00002357
1679472000003,8,-0.00009926
1679500800014,8,0.00010000
1679529600002,8,-0.00019097
1679558400001,8,0.00010000
1679587200010,8,0.00010000
1679616000002,8,-0.00011069
1679644800015,8,0.00010000
1679673600027,8,0.00010000
1679702400019,8,-0.00007290
1679731200008,8,0.00010000
1679760000003,8,-0.00001686
1679788800005,8,0.00009105
1679817600000,8,0.00000334
1679846400000,8,0.00010000
1679875200023,8,0.00006158
1679904000005,8,0.00007205
1679932800002,8,0.00010000
1679961600010,8,0.00006232
1679990400021,8,0.00010000
1680019200017,8,0.00005043
1680048000010,8,0.00010000
1680076800010,8,0.00010000
1680105600021,8,0.00010000
1680134400001,8,0.00000244
1680163200009,8,0.00010000
1680192000021,8,-0.00001277
